,comment
4444,Настя Ивлева курила кальян через удочку))
4445,"посторонии люди немного раздражают. особенно девушка Миши со своим ""зая, зай"" 🙄 и телефон постоянно ему почти в лицо тычила.... прям бесит"
4446,следующего бустера надо на кресло!!!))(
4447,От Парадевича и Ильюхи веет харизмой
4448,Круто
4449,Поменяй заставку на новую )))
4450,Заделай видос где ты участнику загадываешься желание и кто соглосится выполни загадывает желание тебе И ТЫ ОБЯЗАН ВЫПОЛНИТЬ ЖЕЛАНИЕ
4451,Молодёжь уже не та. Два алкоцелки.
4452,Можно в 3. Кореша
4453,"Ролик просто топ 
Настя ты лучшая)"
4454,Литвин позови короч Степановна интересно как он будет выглядеть в током состоянии залайкайте
4455,До последнего думала что выйграет парадеевич)
4456,Рыбалка 🔝
4457,"Обажаю литвина, настя ивлеева будет"
4458,Да ни интересно стало смотреть аднои тоже видосы
4459,Литвин я люблю тебя я думаю Дима Масленников
4460,У Ильи передоза
4461,Литвин я люблю тебя❤
4462,Иксайл лучший
4463,Парадевич лучший
4464,https://youtu.be/Za6ZLIOU02k Легендарная авторская песня!
4465,Только увидел парадеевича и сразу понял что он выиграет
4466,"Литвин я люблю тбя 
 Я думаю будит участник литвин ххаха"
4467,Бустер
4468,Литвин я люблю тебя
4469,"Как же я Настю люблю, вы бы только знали💞"
4470,"Литвин - красава! контент ахуенный, подписалась!!"
4471,Илюха по факту выйграл
4472,Литвин нариком стал
4473,Да это гуд Ивлеева красава))и по дуть успела и кайфануть)))она за любой кипишь кроме голодовки)
4474,"Эта что за мамаша там , держи не отпускай и ТД а как слюни потекли нет поддержки и ее рядом"
4475,НАСТЯ ЕСЛИ БЫ ПИЛА ТО ОНА ДОЛГО ПРОДЕРЖАЛАСЬ БЫ 😃 ОПЯТЬ ПОХОДУ ЕСТЬ
4476,"Ивлеева спалилась с наркотой, что знает, что сразу выдыхать не надо, а надо подержать"
4477,Это точно
4478,Мишаня позови в следующем туре Бустера он сам по себе угарный и будет интересно посмотреть на него пьяным !!!!
4479,Настя это тот человек который может курить Всё что можно держать в руке)
4480,ну ок
4481,Парадевич из за Миши уронил стакан
4482,"Миша брат го сделаешь третью часть с подпищиками  ,возьмёшь двух человек на рандом, желаю тебя чтоб ролики выходили с большим количеством просмотров. Удачи!"
4483,больше хазяев в ролики!
4484,"Литвин видео просто ахуенное, пожалуйста позови в слейдуйщий тур егора крида"
4485,Кофта - я что для вас шутка
4486,Что за песня играла 1:02:07
4487,Каграманова или Жидковского надо сюда😂🔥
4488,музыку из детройта сразу услышала)
4489,ГДЕ БУСТЕР????
4490,Давай коффи в следующим туре
4491,Ржала с Насти как угарела от смеха задыхалась
4492,Ржал долго блять это ШЕДЕВР ПХПХХПХПХПХПХПХПХ!!!!!11111
4493,"Настенька просто супер,  я смеялась до слёз, а Литвину спасибо за такой крутой ролик! Было супер🤩🤩"
4494,"Настюха знает, когда в себя втягиваешь, надо в себе держать😂"
4495,Позови  сюда Бустера думаю будет прикольно
4496,Давай Пашу техника на седацию
4497,Где бустер
4498,"Бомба видео,Миша легенда👍"
4499,Ждём Славу Бустера и оператора Саню на третьем туре
4500,"Все реально красавчики, подняли настроение, спасибо за контент!"
4501,Миха хочу сделать пару зубов в выпуске и побороться с кем-то 😎🙂
4502,"сашуля так мило сказал, что его любимый исполнитель костик"
4503,Миха я тебя люблю. Там будет Настя Ивлеева?
4504,42:05 АХХАХАХАХАХАХАХХАХПХП
4505,А в чём смысл если победит парадевич
4506,top
4507,"Мишаня пригласи участников в равной весовой категории в то я заметил что чем меньше чем там больше время это уже второй раз так это пока закономерность но все таки 
И спасибо за такой веселый контент в если вставить в видео то ваще респектну спасибо обнял"
4508,какрго хуя здесь настюшка делает?
4509,Какой же голос противный у Литвина у девушки ахаха
4510,Аукцион желания когда
4511,Настюха и рыбалка 🎣 держи дым 💨 с тобой бы подудели :)
4512,Самая противная это Каролина..из за неё приходилось мотать ролик
4513,Он расстался с той которой делал предложение на футбольном поле?
4514,Подгони пару лямов Мишань🤗
4515,"Настя топчик, самая весёлая и денег заработала))"
4516,"Миша здорова, ты красавчик, отлично поднялся, блин скажи как можно заработать бабос прям сейчас, или так выручишь, просто я на камчатке"
4517,"надо позвать плохого парня, вот он тут такое шоу устроит"
4518,Лучшие
4519,Что за трек в видосе?
4520,Я подпишусь как будет 10 Лямов нужно же ко му то будет подписаться что бы было 11 дямов
4521,Мишаня как всегда на высоте
4522,"Врач в медицинских перчатках сидит в телефоне, а потом втыкает иглу🤦‍♂️"
4523,Для тебя я люблю
4524,ЭТО ЖЕ ШАРЫ )))!!!!
4525,"Придумал идею в следующей части дать:дать шнурок не завязанный и сказать развяжи.
Думаю будет угарно"
4526,ебаааать я орнул с ивлеевой 🤣🤣🤣
4527,Илюша обрати внимания на женщину свою она тебя подставить в самый неловкий момент... нахера про маму то на камеру пьяную у неё мозга нет.... задумайся
4528,🤙🏻
4529,Бро от души ценю топовые видосы ты самый лучший нахуй не обращай на хейт мы с тобой!
4530,Mellstroy позови о
4531,🫰
4532,"Настюха конечно 🤣 с Лехой там раньше баловаться полюбому, какой-то там наркоз там поинтереснее будет у лехи то..."
4533,"бл я пытался муху убить на экране 
кто тоже пытался?"
4534,На самом деле он  зовёт  участников для того  чтобы они  под  нарокозом они говорили  какой красавчик и респектовали  ему
4535,Мишка крууут!!! Настюха красотка 😎
4536,"литвин я люблю тебя,давай Криштиану Роналду"
4537,Бустер
4538,Бустер
4539,Бустер
4540,Бустер
4541,Бустер
4542,Мишаняяяяяяя Давай третируя часть с АДЕЕЕЕЕЕЕЕЕЕЛЬ
4543,Нада Бустер !!!
4544,Давай Бустера !!!
4545,Го бустера !!!
4546,пригласите кореша
4547,Следующий раз будет героч?
4548,"желаю всем такого друга, как саня, и поддержит, и слюни вытрет, красавчик вообще. илюха с рыбалкой вообще разнес,поугарала знатно"
4549,Шок парадевич проиграл
4550,Ждём братьев Гаязовых
4551,не посмотрев видео сразу ясно что парадеевич выйграет
4552,"посмеялась от души, спасибо брат🤣🤣ролик ахн, ждём масленникова!! бустера, ебашь!!"
4553,Плохого парня туда надо
4554,Литвин ты сегодня в Москве?
4555,"Литвин я люблю тебя, выходи за меня"
4556,Откуда в нём 82 килограмма?
4557,"Мне одному интересно,что литвин сказал,что его девушка чуть не ушла ?"
4558,Че за гопник
4559,Литвин я люблю тебя
4560,"Я дико извиняюсь, но меня одного дико бесит девушка литвина?"
4561,"пожалуйста,в некст часть,Кореша пригласи Мишань :)"
4562,"Я хоть и не хейтер, но этот выпуск самый беспонтовый , концовка не понятна.
Да и отношение у тебя к своей девушке как к говну.
Одним словом ,  ты зажрался и начал снимать нового полное , в каждом ролике одни деньги , ничего интересного.
Раньше хоть Пранки были , а сейчас одни понты деньгами (кто больше тот получит 1000000) основа твоих видео.
Ты сильно изменился, подумай над тем что я тебе сказал."
4563,"Бля почему не заметили как жека тоже контент сделал( с фразами , а это я разлил похуй, и тд)"
4564,"Выпуск как всегда ахуенный, уважаю тебя, молодец 😋💞💞"
4565,"Нет ну лучший, мне понравилось даже очень, серьёзно 🥺💕💕💕💕"
4566,"Пхпхрхрх, я просто инфу чекнул, малоли кто то пушит"
4567,"Даааа, как Илья их байтит, просто хозяин, СИИИИ"
4568,"С ильи угарнул жестко, топовый пацанчик"
4569,"Как всегда, выпуск на высоте, смешно, весело, трогательно, ждем финала!"
4570,Девушка илюхи как будто она его м
4571,"Мишаня тебе не показалось    стремноватым, что ты чучуть стал зависим от аля-наркоза!!!!! при этои не бухая алкашку??????!!!!  ты зависим!!! по сути ты стал наркоманом))))  при этом пропагандируя ненависть к алкоголю. Все нарколыгы  против алкоголя. ЕСТЬ НАД ЧЕМ ЗАДУМАТЬСЯ,"
4572,"Бля, Илюха сделал ролик пиздец)"
4573,"бустера,  масленикова,и даника надо, ждеееем. А вот эти вот все стримеры как то не о чем честно."
4574,"Литвин я люблю тебя, выходи за меня 💍👨"
4575,Литвин я люблю тебя
4576,"Диляра , зачем так камеру прям в лицо я не понимаю"
4577,"Бля, спасибо за дозу угара)"
4578,"ЛИТВИН Я ЛЮБЛЮ ТЕБЯ, ВЫХОДИ ЗА МЕНЯ"
4579,"Крутой видос , угар до слез , спасибо!)"
4580,1:02:32 блять почитали 15сек+ 15сек . А добавляться 1 минут . Как это так
4581,11:05 че за трек
4582,Давай ещё раз парадевича и кореша тоже все хозяевские к вам придут
4583,Илюха Топ
4584,"Илья очень милый, добрый и хороший парень, прям в голос смеялась, спасибо за такую энергетику"
4585,Красавчик)
4586,А что Мишаня сказал носчет Адель по английскому?
4587,Мишаня выходи за меня
4588,"Парадеевич всех въебал, говорю не смотря)"
4589,ТОП
4590,"Дикий/сочный/весёлый/бомбовый ролик
Мишаня, Ильюха просто жёстко раздал стиля
Спасибо за ролик, братанчег!"
4591,ещё не посмотрела но уверена выиграл парадеевич аххахвха
4592,Дичь полная.слава Украине
4593,литвин топ кто согласин лаик!!!!!!!!!!!!!!!!!!!
4594,Витвин вау бомба
4595,"Формат вообще огонь👍👍!!!
Ждём других ребят!!!"
4596,Мишаня вообще красавчик!!!! Все красавчики!!!! Настюха вообще молодец!!! Ждём ваш видос Мишаня и Настюха!!!
4597,Литвин я тебя люблю и пошел ты куда дальше
4598,пиздец осталась только рыба и баскет походу
4599,У Ивлеевой наверное даже на ролики права отберут)))))))
4600,Ждём ростика и Диму Масленникова!!!
4601,Афигенный контент
4602,Скоро вмазываться начнёте
4603,Ждём Масленникова
4604,Саня ещё и слюну коришу вытер. Красавчик. А девушка побрезговала. Есть такая фраза : У тебя нет друзей пока никто из них не защищает твоё имя в отсутствии тебя.
4605,"Беги Илюха….. дама твоя ,тебя схавает. Вообще Илья смешней всех исполнил. Подписываюсь однозначно. Кто в курсе Дама его бывает на канале ?"
4606,"После смерти Саида, стремно смотреть литвина. Стремно признавать что он земляк. Есть такая интересная песня у дискотека авария ""фантазер"" только хочется выразиться матом, но воспитание не позволяет"
4607,Фрейм это тот самый Санечка снимаешь?
4608,"Пригласи Репу,прикольно должно получится"
4609,"Можно 3 часовую версию, как Илюха ловит рыбу 😂😂😂"
4610,Масленикова надо!!!!!!!!!
4611,пон
4612,Илюха топ
4613,"Мишань, пригласи Славу Бустера контент должен быть и быть хороший"
4614,номер скину
4615,михань ты щедрый? скинь 3 тыс 🤣
4616,"С Ильи и кски угарнул, особенно когда он другим сказал на какие позиции идти, и мышку в руке держал)"
4617,Ебать вначале ролика зачитал как Оксимирон
4618,"22:01 у девочки, живот такой???"
4619,1:00:40 СКАЖИТЕ ПЛИЗ ЧТО ЗА ТРЕК
4620,"ИИИИИИИИИИИУ, это самая милая просьба подписаться, я прям растрогался"
4621,"Топовый видос,ждём  бустера"
4622,"Ещё не смотрел, но выиграет парадеевич)"
4623,Настюха вообще топ!!! Прям уверен был что вывезет этот кипиш!!!
4624,Зачем Илью наебали на оверпассе играли ведь
4625,"Настюха молодец! Даже в такой ситуации не сказала не чего лишнего, вот таким людям можно доверяться!)💪🏻👍🏻"
4626,"Зови Илюху почаще в ролики,он классный)"
4627,ЛИТВИН Я ЛЮБЛЮ ТЕБЯ
4628,51:48 хахахах
4629,"Орнул, как Настя дула удочку ахах"
4630,Литвин я люблю твою маму!
4631,идея огонь!!!
4632,Позави TheWarpath в следующий ролик!
4633,Жаль что Илюха уронил стакан:( Если бы он не уронил он бы выиграт
4634,Литвин я люблю тебя: субо
4635,Кореш опять проебал ...
4636,Я уже знаю что выиграет Парадеевич
4637,Рыбалка конечно👍
4638,"30:21 , я на полу лежала 😂😂😂😂❤️, Настюшка лучшая просто"
4639,го бустера
4640,ор
4641,"Паша техник в соло вытащит ролик и закрепит его в трендах на долгое время) Только вот выиграет, сразу понятно. Он всегда в таком состоянии)"
4642,Ждем бекстейджи
4643,"Спасибо большое за такой контент ,это очень круто"
4644,На 10лямов разве что в Сочи полетит 😂 а не Италию
4645,Лучшая серия из этого выпуска
4646,👍👍
4647,"Делай 3 часть, бустера зови"
4648,"это просто ахуенно. Видеть блоггеров живимы, это многого стоит. такие искренние"
4649,Только зашел сразу понял парадеевич выиграл
4650,Как всегда жестко
4651,Хахахахахаха
4652,"Литвин уже на кайф подсел на столько, что уже 4 серии запланировал )) при этом других подсаживает, нельзя, ни к чему хорошему не приведёт 😏 как не как морфин"
4653,бустера
4654,Ну хоть где-то парадевич не выиграл
4655,"раздрожает  девушка Литвина, лезет постоянно
как будто хочет выделиться"
4656,Выбесила гиперопека девушки Ильи
4657,Ахахахзазазаза это кто : ПИНГВИИН 🤣🤣
4658,Диму Масленникова в это кресло!)
4659,"Нахера этих дебилов смотреть которых эмиран Хачан вырастил блогеров хуёгеров наёбщиков 🤦 вернулся эмиран Хачан потому что за границей нахер никому не нужен ,что такое сделать что бы эта хуета не попадалась в рекомендации"
4660,Настя и Удочка меня вынесло
4661,Не смотрел но знаю что парадевич выиграл
4662,"А у Адель тоже челленж был: ""Cнимаю парня на телефон 24 часа"""
4663,Бустер Масленников кореш и буда
4664,"Миша хорош, либо девчонки учатся на твоём сленге разговаривать, либо ты выбираешь с одинаковым акцентом даже))"
4665,Заебали так давить) ну ладно подпишусь
4666,Ивлеева топ)
4667,Позови Пашу техника !
4668,Теперь все поняли что Настя шабит 🤣
4669,Требуем Илюху в следующих видосах!
4670,Уже знаю не смотря видос что парадеевич выиграет)
4671,Нашли с кем тягаться.я спать короче!!!
4672,"Взаимная отдачи энергии? Ваша подписота в Украине убивает друг друга, а вы за бабки ноете, рекламу, инстаграм, просмотры и тд....."
4673,Ебать там ещё и ивлеева !!!та её ваще не прет нихуя!
4674,Каролина так мило поддерживала илюху;)она с ним как с ребеночком хахаха
4675,Да Настюху такое хрен возьмёт)))))
4676,Ебать блювота!!! скоро будут наркотой штрыкатса и всё норм.ДОЖИЛА РОССИЯ!!!
4677,ХАХАХАХА ТОП ВИДЕО
4678,Победил Парадеевич)
4679,Настя стакан в другую руку брала
4680,А я бывает две сутки не сплю бесплатно
4681,Парадевичь победит
4682,Что у Миши случилось с его женой
4683,Почему Мише добавили минуту за два попадания в кольцо там же по 15 сек а ему дали минуту???
4684,Офигеть у меня тоже 11 августа др
4685,❤️❤️❤️
4686,ебать я думал тебе 30
4687,"чел поправил волосы, а не стакан выронил, правильно говорила деваха, нада было продолжать, мда канешн"
4688,А не будет момента что он сказал? Очень интересно стало после упоминания о нём
4689,"Хоть и Илюха меньше всех, но самый угарный"
4690,Спасибо за ролик
4691,только начал смотреть насть оч плохо выглядишь был большой запой походу
4692,"ЛИТВИН Я ЛЮБЛЮ ТЕБЯ. ВЫХОДИ ЗА МЕНЯ.
По превью думаю Эвлеева если не ошибаюсь?"
4693,"Видос только начался, но знаю что парадеВИЧ опять выйграл."
4694,Адэль беременна?
4695,А где КОРИШ блять
4696,Настя топ
4697,;)
4698,Джарахова позови Мишань
4699,Илюха самый крутой и ржачный в этом выпуске досихпор угараю
4700,"литвин, я люблю тебя, выходи за меня"
4701,"Девчонки с ними только ради бабла, как доход упадёт сразу же сбегут от них, как бы грустно это не звучало"
4702,"Литвин, я люблю тебя. Вы ходи за меня💗💗💗💗💗💗💗💗❤️❤️😋😋😋😋😋😋😋😋"
4703,"Парадевич опять всех победил ,как и везде )"
4704,")крутой ролик, но все таки Аделька ривнует Мишку )"
4705,"Девушка иксаила снимает , а парадевич как друг заботится (она получается шваль)"
4706,.
4707,.
4708,.
4709,.
4710,.
4711,.
4712,.
4713,Литвин люблю тебя Парадеевич
4714,"Братва довайте добьём Мише 10 лямов подпищиков, это же межгалактический уровень ❤️❤️❤️"
4715,Ждём Егора Крида!!!
4716,Ждём Моргенштерна!!!!!
4717,"Если в первом выпуске начал без колёса фортуны,то и продолжай без него! И нечестно получается!"
4718,"крутое видео, только ты меня в друзья забыл добавить в вк"
4719,"Мишаня, зови гордея, Романовича, варпача, Масленникова, бустера, и тдл"
4720,"Бабки выигранные если бы отдали на благотворительность то были бы капитальными красавчиками , а так ... нах ей эти 500к?"
4721,1:09:48   подписька на ютую
4722,"в следующей части Бустера позави
Будет прикольно"
4723,Ещё не смотрел но знаю что парадная победил
4724,парадеевич как всегда победил? 😂
4725,"бля эксайл слит сценаристами из-за того, что он имба ебанутая"
4726,Я даже не заметил то что ролики долгие до конца смотрю😂
4727,Заскамили старую)
4728,Настюха молодец 🤘🤘🤘
4729,43:25 голос сани
4730,Золотые слова Ивлеевой
4731,Где Дима Маслиников
4732,"чел зовет на ролик парадеича, но не зовет кореша, это фул кринж"
4733,Жалко Илью он просто хотел поправить волосы
4734,Не смотря ролик знаю что парадевич выиграл
4735,Ждём Бустера и Диму Масленникова!!
4736,Мишка 3.14ды получил)
4737,джигу давай
4738,Еще не смотрел но знаю что Парадевич выграет
4739,"да Мишань,  го Славика,  и Димона Маслиникова бля это будет разъëб,   всë обнял ролик топ🥰😽"
4740,что он сказал та про свою девушку ?
4741,На 16:40 зачем руку убирали он держал 🥃?
4742,"С днём рождения, Михаил🥧🥳"
4743,"Бля, Настюха прям от души речь толкнула в конце
Лайк тебе, Опасность"
4744,Круто ролик 💪💪💪💪💪💪💪
4745,Litvin Красава!!!
4746,Мне кажется или литвин подсел на наркоз. Это же тоже наркотик))))
4747,А после Саня спился
4748,Диму Масленникова следующего!!!
4749,Я знаю что ты не заметишь но этот ролик офигенный и угарный
4750,Подписка + колокольчик
4751,Почему Настя в конце не держала стакан?????
4752,Слава Україні хуйлан
4753,начало видео как у Димы М. )
4754,Спасибо за настроение
4755,ЛИТВИН Я ЛЮБЛЮ ТЕБЯ ВЫХОДИ ЗА МЕНЯ ПУПСЯХА
4756,Настя просто бухать умеет поэтому и долго держалась
4757,ЛИТВИН Я ЛЮБЛЮ ТЕБЯ
4758,"Мне кажется у иксайла не девушка,а вторая мама ахаха"
4759,Ждём бустера и Масленникова здесь
4760,Саша так мило илью поддерживал
4761,Очень смешная Ивлеева 🤣❤️
4762,Господи с Насти просто до слез😂
4763,Еще бы мата поменьше...
4764,"Ивлеева Разьебала конешно)
Удочку курить надо было, вот в чем секрет успеха😅"
4765,"Илья заруинил катку, надо было флеш на мид кинуть, и мы 14-16  проиграли"
4766,"Пока вы снимаете стримеров, блоггеров. Лучше бы на заводе работали, не хватает работников. Приглашайте обычных ребят, чем всяких бустеров"
4767,"Боюсь в будущем роскомнадзор будет блокировать такие ролики.( Например, за пропаганду или еще че нить"
4768,Настя очень сильная во всех смыслах
4769,Меня чуть не разарвало от смеха с удочки
4770,Ждём субу в следующем выпуске
4771,"парадеевич и так выйграет, смысл смотреть"
4772,Боже Адель кринж
4773,Настя
4774,хочу акулич!
4775,"мишаня заработался ему надо бы отдохнуть потому что он в конце почти во сне он говорил про видосы контент мишаня иди отдохни недельку две 
пролайкайте парни!"
4776,Найс:)
4777,"Я так угарала с Настюхи, до слез просто"
4778,Жду бустера!!
4779,"Саня и Илюха вытащили ролик, спасибо Мише за хорошее настроение 😂"
4780,Привет
4781,Живете в стране спонсора терроризма.
4782,"Красавчик брат , по сути ты все правильно говоришь , жизнь одна , и больше нас не будет , уважаю родной )"
4783,Ууу  хуета((( постанова
4784,Участники фуфло коме ивеевой этих даже не знаю
4785,Просто хочет собрать в финале всех топовых людей
4786,Интересней былобы если б вы все разом вмазались
4787,Несмотрел но знаю что выйграет парадевичь
4788,Я бы больше всех вас сдержался 😂
4789,лИТВИН Я ЛЮБЛЮ ТЕБЯ А БОЛЬШЕ МОЖНО НЕ ПИСАТЬ)
4790,я один плакал когда илюха уронил стакан
4791,"Литвин я люблю тебя,я хз ты лютый"
4792,"Контент разрывной, спасибо Мишаня))"
4793,"Настюха нифига трубку мира на 26 минут раскурила и я думал как всегда выйграет Парадеевич, но не в этот раз. Пацаны молодцы, не пьют, не курят, Илюха вообще в КС катал😃 Я думаю каточку он бы продержался и победил."
4794,зачем литвин белого за руку трогал
4795,ахуенная рубрика
4796,смотрю пока как миша двоим держит руку насте держит руку 1 игроку он опускал вниз цирк и постанова
4797,"Я один заметил, что Парадеевич после Насти в рот удочку взял( на 28 минуте где-то)"
4798,Мишаня по братски Масленикова позови в выпуск ))
4799,Ждём 3 часть)
4800,"Мища ты красавчик конечно, давно смотрю твою контент и в этот раз меня удивил молодец удачи в следующих видео, ну Настя была мощь!!!!"
4801,хателось бы видеть сдесь маета и бустера
4802,Литвин я люблю  тебя 🤟
4803,"По просьбе Насти , сделали )"
4804,"ХХАХААХВЗзхахвзахв илюха топ, орал пиздец с него"
4805,Ммм хуета
4806,Подписываюсь в ответ
4807,👍🏻👍🏻👍🏻👍🏻🐝
4808,мне кажется парадейка выйграет как всегда
4809,С кем Литвин поссорился?  От кого он часы выкинул?
4810,Можно 3 ча́сть с Субой
4811,"Бустера надо пригласить на этот ролик, такой ор будет"
4812,"С настюхи угарнул хахахах, мишань го на 3-выпуск Бустера позовем? Коментаторы если хотите чтоб бустер пришел на 3-выпуск то под моим коментом лайк ебашим"
4813,приглоси Пашу техника
4814,Жду обзор на соля.
4815,Привет бустер
4816,Парадеевич раньше лучше выглядел лучше)
4817,Очень интересная рубрика ! Ждём финал
4818,"Не смотрел, но думаю что парадеевич выиграл"
4819,Настюха медленный с Лехой потягивает вот и результат сумашедший))) на самом деле видно что настюха в «седации» бывалая )) первый все дела
4820,"Надо обязательно позвать Бустера, Даню Мясникова, и Суба. Это будет что то😂"
4821,"Хотел посмотреть видео с саньком парадеевичем, и тут в реках, кайф"
4822,"Жаль что оператора Моргенштерна небыло, опять бы над алкашами поугарал)"
4823,3:11 я понял что в ролике есть Саня и нет смысла смотреть дальше
4824,топ топ топ топ
4825,Литвин заметь!!!!!!!!!! Я готов продержаться седации 40 минут!!!!!! Проверенно!!
4826,Это здоровью не вредит?
4827,"Ещё не смотрел, но уверен что как всегда победил парадеевич"
4828,Я думал выиграет парадевич
4829,"Миша логопед,в простонародье🤣."
4830,Литвин в следующем видео можно Дима маслинкова позвать
4831,Литвин 👍🏼
4832,48:00 эксайл сииииии
4833,Тупизм
4834,"Монтажер : Миша, сколько добавить эффектов замутнения и плавного замедления когда участник засыпает?
Миша : да"
4835,👍🏾
4836,литвин я тебя
4837,Какая же Каролина красивая!!!!!!!!!!!!
4838,ПАШУ ТЕХНИКА В СЛЕД.СЕРИИ!!!)))
4839,"Миш, давай одним из следующих участников будет Дима Маслеников, а может ещё кто-нибудь из его команды."
4840,Настя топ
4841,Небольшое превращение в Пашу техника хахах
4842,"шо за 2 штруделя, не берите их больше, такие космодавы"
4843,"Литвин,кока"
4844,где кореш нахуй
4845,А Мишани то понравилось походу под кайфом быть
4846,Флейта бля 😂😂😂
4847,Ивлева Настя это просто пиздец как смешно
4848,Миш на монтаже каждый твой бросок +15 сек а добавил минуту.
4849,Siiiiii
4850,+
4851,"Не смотрел, но уже знаю, что Саня победил!
Стоп.. что..??"
4852,"Ещё не смотрел ролик, но выйграл Парадевич"
4853,цирк
4854,Еще не смотрел ролик но уже знаю что победил Парадеевич
4855,Уважаю твой контент Миша  привет из Таджикистан
4856,"52:35 Первый пацан отличный поступок сделал, когда товарищу слюни вытер своим рукавом"
4857,Мне кажется или литвин чуть чуть помешал парадеивечу
4858,Настюха любит проводить время с плюшками 😁😁😆😆😅🤣🤣🤢🤢
4859,Давай быстрей 3 часть
4860,Увидел жеку вышел + дизлайк
4861,"позови никиту нагорного, там на характере будет вообще топчик"
4862,каролина в кадре такая смешная
4863,а что с Настей стало на кикимору похожа !!!
4864,"Литвин, я Люблю тебя ❤"
4865,"Миша когда под наркозом разговаривает, похож на Павлика наркомана."
4866,Литвин здарова
4867,"36:01 Мне одному кажется , что девушка литвена БЕРЕМИНА?"
4868,"Топовый выпуск, посмеялся от души!
Ивлеева 👍"
4869,Мой стакан в очке
4870,Не 15 минут. А 15 сикунд Настя
4871,"Ивлеева перестала симпатизировать ,и внешне и внутренне 😕"
4872,Давай с Маслениковым следующий выпуск
4873,"Позави Герасева и его враг Егорика, вот этот видет будеть офигенным"
4874,У меня у одного звука нету?
4875,"Пригласи меня на финал, создам для всех в финале бомбические, провокационные и филосовские вопросы, сделаем красиво всё 😏"
4876,"АХАХАХАХАХАХХА Я НЕ МОГУ С ИЛЬИ, ПРОСТО ЛУЧШИЙ"
4877,"Литвин когда говорил, напомнил наркомана Павлика))"
4878,"Литвин я тебя люблю, я думаю выйграет Ивлеева"
4879,Как всегда годно
4880,"Как же Адель ревновала Мишаню весь выпуск, кто тоже заметил лайк)"
4881,55:55 АХХАХАХАХХАХАХАХХАХААХАХХАХАХАХА БАЛЯЯЯЯ
4882,Вот и Настюха спалилась ЧТО ОНА ХАПАЕТ
4883,В третий тур и можно позвать Жожо Кореша или Диму Масленникова
4884,Саня как всегда выигрывает
4885,"Литвин , я тебя люблю"
4886,"Илюха стакан поставил чисто, он выиграл, если честно"
4887,"Видос на уровне как обычно! 

Пригласи бустера и Саню (FrameTamer). Залайкайте чтобы Миша увидел! ❤"
4888,девушка Ильи меня так раздрожает😬
4889,"""Я просто чекнул, мало ли кто-то пушит ""- лучшее😂😂😂😂"
4890,"Я на победителя, с играл бы с вами епта"
4891,Еба что у неё с глазами 46:11
4892,еще не посмотрел но знаю что парадеевич победит
4893,Бля 😂😂 момент из прошлого тура с литвиным это просто пиздец я ржал пол часа
4894,На моей памяти самый угарный выпуск
4895,А что им вкалывают ?
4896,Выпуск пушка!
4897,"Ща угадаю: Парадеевич, Эксаил и Настюха Ивлеева!!!"
4898,"Шикарный ролик, ждём следующей части"
4899,До слез 😂😂😂🤣🤣🤣
4900,будет 3тий часть?
4901,"Начал смотреть без настроения, в итоге так угараю"
4902,Да ждём Диму М
4903,Мальчик в верх
4904,Литвин я люблю тебя)
4905,Ебать Настюха постарела ((мешочки на глазах жёсткие )
4906,"я еще не досмотрела до конца, но уже знаю что выиграет Парадеевич😆"
4907,"Смотрю тебе понравилось эта фигня, частенько стал туда забегать"
4908,+
4909,В что он лишнего сказал? Что именно
4910,Миха спасибо 🙏
4911,"Видос бомба ) баба литвина  ,сунет нос везде и туда ,куда собака даже хуй не засовывает ,отталкивает она как то своим вульгарно хабальным поведением"
4912,Парадевич как всегда выйграет!
4913,бустера сюда
4914,ждём следующий выпуск с твоей девушкой на стуле)
4915,такой душевный ролик
4916,Маслкнникова хочу тут видеть
4917,позови фрейм теймера
4918,Пародевичь победил
4919,Как всегда топ моштаб топ видос!!!!
4920,+
4921,Кроме ивлеевой никого не узнала. Что за люди? Типо они популярные?
4922,"Сделайте так чтобы остальные участники не знали время предыдущих,т.к.с такими правилами первому выиграть практически невозможно.."
4923,Я чувствую Илюха выиграет ибо факт от работает много днями ночами и выдержка без сна есть посмотрю итог ) интересно спасибо за позитив здоровья
4924,"Сложилось впечатление, что девушка Эксайла с ним просто из-за денег"
4925,Рыбалка у все это вообще топ🔥🔥🔥
4926,"Мне нравится то, что, нет 👎 диз лайков) Мишаня как всегда на уровне! Лучший 👌🔥🙏"
4927,"годно , я поржал хоть это и редко для меня"
4928,"Миша было бы крута если ты б позвал гришу ог буду, 163 рому или еще когото"
4929,100000000 лайков насте просто в космос серию 👑🌟🔭🚀
4930,Если девушки так долго держатся попробуй пригласить на такой видос настю туман и блондинку драйв
4931,позови майота буду соду и скали
4932,Илья завёз контента
4933,Давайте  меня проверите
4934,"не досмотрел, но уже знаю что парадевич выиграл😄😄"
4935,Классный видос 👍👍👍👍👍
4936,"Не посмотрел ролик, но уже знаю, что Кореш выйграет. А, стоп... Не тот канал"
4937,Какой трек Маркула играл?🥺🥺
4938,"Как же Каролина поддерживает Илью, приятно смотреть на эту искреннюю поддержку"
4939,Жду бустера Масленникова Дору Ростика т.д
4940,Мужики бустера сюда сто процентов это разьеб будет залайкайте
